No,주소,아파트명,대지면적,건축면적,세대수,사용승인일
,성남시 분당구 느티로23번길 12,위브제니스,2104.58,742.27,157,20030329
,성남시 분당구 성남대로 449,로얄팰리스,5663.19,3610.96,634,20030200
,성남시 중원구 은행로 13,은행두산위브,4449.32,1299.42,432,20030000
,성남시 분당구 정자일로 1,코오롱트리폴리스1,5269.85,3780.77,1148,20011210
,성남시 분당구 판교로743번길 7,목련마을SK,3377.99,697.41,276,19980300
,성남시 수정구 단대로23번길 32,단대진로,2371.72,1396.93,499,19980000
,성남시 분당구 정자일로 30,청솔계룡,5944.31,959.73,492,19960600
,성남시 분당구 미금로 63,"무지개3단지신한,건영",12034.34,2136.74,964,19960200
,성남시 수정구 모란로 65,삼부아파트,10987.4,2629.66,833,19960000
,성남시 분당구 구미로 100,"무지개10단지건영,삼성",13500.57,969.24,498,19950000
,성남시 분당구 미금로 184,까치마을1단지대우,18547,2769.77,976,19950000
,성남시 분당구 미금일로 58,"까치마을롯데,선경",17269,2483.05,1124,19950000
,성남시 중원구 자혜로17번길 16,은행현대,18098.12,3174.5,1258,19950000
,성남시 중원구 시민로28번길 6,하대원현대,3464.23,1033.13,314,19950000
,성남시 중원구 원터로18번길 19,성원초원,3677.49,3574.42,281,19950000
,성남시 분당구 내정로 94,한솔7단지주공,15510.05,2140.55,1668,19940500
,성남시 분당구 백현로 206,한솔4단지주공,180266.71,2383.42,1651,19940500
,성남시 수정구 공원로 340,신흥청구,5427.39,4726.12,493,19940000
,성남시 중원구 광명로395번길 7,금광현대,1418.79,1061.68,124,19940000
,성남시 중원구 금상로 134,선경상대원2차,25356.49,4171.47,2510,19940000
,성남시 분당구 판교로 607,목련마을주공1단지,13352.29,2151.71,1460,19930000
,성남시 수정구 공원로 360,신흥두산,6530.91,1575.53,666,19930000
,성남시 중원구 황송로 6,금광시영아파트,10499.47,1064.7,990,19930000
,성남시 중원구 순환로198번길 12,일성,2427.26,654.58,270,19930000
,성남시 중원구 둔촌대로 193,성남동현대,3047.51,639.33,375,19920000
,성남시 수정구 논골로 87,선경논골,2581.23,1736.28,426,19910000
,성남시 중원구 사기막골로31번길 34,삼익상대원,1835.39,789.55,264,19910000
,성남시 수정구 산성대로 341,성남신흥한신,6768.2,1130.66,585,19900000
,성남시 중원구 산성대로 552번길 15,은행주공,41801.99,3907.98,2010,19870000
,성남시 중원구 순환로 188,상대원궁전,3591.28,989.41,268,19870000
,성남시 수정구 공원로 470,통보8차공원,1737.59,694.33,198,19860000
,성남시 중원구 둔촌대로217번길 11,하대원삼남,807.8,306.76,105,19860000
,성남시 수정구 시민로 192,태평아파트,1272.59,355.23,80,19830000
,성남시 수정구 희망로 472,성남단대미도,3301,538.09,280,19820000
,성남시 분당구 산운로 121,산운6단지휴먼시아,6808.67,1449.96,260,2009023
,성남시 분당구 정자일로213번길 19,아이파크분당2,2128.24,1571.97,224,2003500
,성남시 중원구 사기막골로150번길 10,산성아파트,4213.82,3732.93,360,1990000
